4.8515,341.93,-17.825
1.5388,343.83,-18.507
-8.2676,349.93,-18.601
-20.934,356.41,-17.279
-36.586,358.53,-16.789
-47.561,356.54,-16.325
-59.861,335.07,-21.997
-56.475,318.03,-26.85
-45.36,303.14,-31.43
-31.054,295.62,-33.665
-16.583,295.51,-33.703
-5.5687,305.79,-29.699
2.16,322.23,-21.898
5.6591,334.12,-16.197
9.7038,350.44,-8.1045
12.843,357.86,-4.2053
14.032,356.4,-4.7034
15.948,334.39,-12.643
16.046,301.72,-22.578
11.681,261.11,-32.192
5.2859,224.23,-37.131
2.2121,202.01,-38.024
2.6238,194.15,-37.802
3.0568,192.96,-37.344
4.758,197,-36.085
