16.501,307.05,-56.498
17.069,307.06,-56.505
17.23,307,-56.628
15.014,306.98,-57.331
10.925,307.22,-58.121
2.4331,308.63,-59.091
-6.7217,310.55,-59.719
-16.329,314.72,-59.747
-24.923,318.96,-59.686
-32.286,321.38,-59.266
-39.493,322.25,-59.475
-46.795,320.99,-60.003
-53.069,315.78,-61.894
-58.422,304.31,-63.459
-61.053,292.49,-64.388
-62.251,277.09,-64.803
-62.644,264.13,-65.034
-65.759,243.39,-65.507
-70.353,223.19,-64.763
-73.003,208.82,-62.367
-72.681,202.69,-60.819
-69.625,201.08,-59.522
-63.512,204.82,-57.887
-55.811,210.5,-57.568
-47.548,216.85,-58.026
-38.953,224.88,-58.375
-38.953,224.88,-58.375
-16.509,242.27,-55.924
-8.6861,247.75,-54.998
4.4463,256.72,-51.872
18.521,264.29,-47.713
33.359,265.53,-45.471
46.965,263.04,-43.128
59.543,255.99,-40.496
70.567,246.31,-37.725
79.793,234.89,-34.253
86.337,220.97,-31.735
89.905,206.03,-29.643
89.01,191.1,-28.282
83.202,177.12,-27.419
73.847,166.57,-27.978
66.46,161.3,-28.037
51.774,154.47,-28.619
34.456,149.12,-29.844
16.089,145.9,-32.065
-1.8914,145.9,-32.829
-17.76,148.16,-34.119
-29.928,151.07,-35.329
-37.615,153.9,-35.919
-42.344,157.06,-36.758
-44.73,159.09,-37.313
-45.799,160.22,-37.642
-45.946,161.22,-37.852
-45.835,161.8,-37.912
-45.732,163.15,-37.693
