19.109,285.88,-23.29
20.206,287.59,-23.266
21.64,288.94,-23.068
23.416,290.07,-22.753
25.175,290.56,-22.578
26.126,290.57,-22.478
27.305,290.09,-22.512
27.738,289.43,-22.56
26.747,288.06,-22.876
22.876,286.01,-23.889
15.812,286.26,-26.09
7.8468,288.95,-27.753
0.12373,292.2,-28.605
-7.0121,294.36,-29.572
-11.958,295.84,-29.686
-14.976,295.55,-30.06
-17.436,292.87,-30.705
-18.887,288.12,-31.686
-20.379,277.72,-33.454
-21.081,265.48,-35.35
-21.198,252.21,-38.178
-20.721,242.03,-39.135
-20.143,235.36,-39.155
-19.364,230.83,-39.009
-18.385,229.24,-38.74
-16.932,228.75,-38.388
-14.49,230.56,-37.595
-10.144,235.65,-36.743
-6.0055,239.88,-35.274
0.91227,245.18,-33.476
8.5748,249.03,-32.177
18.264,251.31,-30.315
27.726,251.95,-28.054
37.127,251.46,-25.251
45.493,246.49,-22.477
51.002,238.14,-20.624
52.736,227.02,-20.331
52.104,220.64,-19.597
45.415,207.7,-19.508
35.699,200.22,-20.371
31.616,198.09,-20.587
14.142,192.42,-21.981
2.6128,189.68,-23.044
-6.269,189.3,-24.942
-11.437,189.95,-25.998
-13.79,190.22,-26.51
-14.831,190.65,-26.805
-15.259,191.38,-26.994
-15.313,191.71,-27.022
